Date,Close,High,Low,Open,Volume,Price_Change,Percent_Change,MA7,MA30,MA120
2025-02-13,185.53511,185.67465,182.54486,183.72103,21402500,2.52177,0.01378,186.50766,193.15162,175.40798
2025-02-14,184.62807,185.79426,183.72104,184.45862,20448400,-0.90704,-0.00489,185.63906,193.01639,175.58935
2025-02-18,183.17284,185.35572,181.14943,184.99689,29916700,-1.45523,-0.00788,184.52413,192.82834,175.7435
2025-02-19,184.66795,184.85734,182.9934,183.47186,19549400,1.49512,0.00816,184.51416,192.61171,175.90564
2025-02-20,183.96025,184.70781,182.12623,184.19948,20441500,-0.7077,-0.00383,184.24219,192.20271,176.07414
2025-02-21,179.07619,184.73772,178.49807,184.54834,35199200,-4.88406,-0.02655,183.43625,191.67676,176.21711
2025-02-24,178.66753,182.52495,178.3087,181.39863,29854200,-0.40866,-0.00228,182.81542,191.18836,176.36554
2025-02-25,174.84996,178.15918,174.12234,177.46144,41913400,-3.81757,-0.02137,181.28897,190.63616,176.4689
2025-02-26,172.16869,175.50781,171.02243,174.50109,35431300,-2.68127,-0.01533,179.50906,190.0288,176.59979
2025-02-27,167.95244,173.99274,167.39426,173.4246,39991000,-4.21625,-0.02449,177.33471,189.32576,176.70309
2025-02-28,169.72665,170.05558,166.22807,168.13185,48130600,1.77422,0.01056,175.20024,188.48617,176.81463
2025-03-03,166.46727,172.8066,165.39078,171.37128,40770500,-3.25938,-0.0192,172.70125,187.62564,176.95137
2025-03-04,170.36456,172.72686,165.26121,165.69978,45388000,3.89729,0.02341,171.45673,186.79235,177.13726
2025-03-05,172.45776,173.21529,168.51063,169.96589,30954900,2.0932,0.01229,170.56962,185.96073,177.34102
2025-03-06,171.78995,174.24195,169.94595,169.97585,28302000,-0.66782,-0.00387,170.13247,185.09622,177.51846
2025-03-07,173.29501,174.40141,169.71668,170.70346,27385800,1.50507,0.00876,170.29338,184.29483,177.67917
2025-03-10,165.52139,168.10596,163.34598,167.90637,43604000,-7.77362,-0.04486,169.94609,183.16023,177.7521
2025-03-11,163.69524,166.39955,161.03085,164.56342,39587400,-1.82616,-0.01103,169.08446,182.24385,177.80485
2025-03-12,166.7588,167.28769,163.18633,166.22992,28372400,3.06357,0.01872,169.1261,181.31363,177.87267
2025-03-13,162.41792,165.78085,161.7693,165.69103,31756200,-4.34088,-0.02603,167.99087,180.23506,177.90025
2025-03-14,165.1422,166.14009,162.10858,162.92686,31995900,2.72427,0.01677,166.94579,179.06589,177.9312
2025-03-17,163.94472,165.9505,163.32603,164.68317,31184300,-1.19748,-0.00725,165.82504,177.75215,177.94014
2025-03-18,160.33234,163.90481,156.39064,163.33601,42074800,-3.61238,-0.02203,163.97323,176.41069,177.93341
2025-03-19,163.54556,165.5214,160.66164,161.42003,34275600,3.21323,0.02004,163.69097,175.00523,177.94982
2025-03-20,162.45786,164.54346,160.62173,161.23044,28138500,-1.08771,-0.00665,163.5142,174.06355,177.96379
2025-03-21,163.64536,163.89483,160.55186,160.8712,36625800,1.1875,0.00731,163.06942,173.15248,177.97737
2025-03-24,167.32759,167.96626,164.79294,166.71889,30879100,3.68224,0.0225,163.7708,172.57215,178.01152
2025-03-25,170.20155,170.27141,167.96627,168.62487,24174400,2.87396,0.01718,164.49357,172.05006,178.05385
2025-03-26,164.7131,169.25354,164.49357,168.64483,28901600,-5.48845,-0.03225,164.60334,171.38324,178.04098
2025-03-27,161.89903,165.07234,161.65953,164.28401,24508300,-2.81407,-0.01708,164.82715,170.67943,178.01404
2025-03-28,154.00565,161.47991,153.30712,160.1527,48669300,-7.89339,-0.04875,163.46431,169.62845,177.92133
2025-03-31,154.315,155.2131,150.34337,152.78822,54603500,0.30936,0.00201,162.30104,168.61801,177.82123
2025-04-01,156.73991,157.76775,153.29715,153.29715,30672900,2.42491,0.01571,161.31455,167.73691,177.77519
2025-04-02,156.70995,158.07708,154.37487,154.82392,25041700,-0.02997,-0.00019,159.79774,166.80498,177.71729
2025-04-03,150.40323,152.4589,150.07392,150.79241,46883400,-6.30672,-0.04024,156.96941,165.68641,177.62774
2025-04-04,145.29401,150.75251,145.07447,147.69893,62259500,-5.10922,-0.03397,154.19525,164.56034,177.49379
2025-04-07,146.44159,152.52878,140.23466,141.25252,76794100,1.14758,0.0079,151.98705,163.48614,177.35977
2025-04-08,144.39589,151.92005,142.7294,150.90219,52200200,-2.0457,-0.01397,150.61423,162.47101,177.19444
2025-04-09,158.37646,159.2147,143.60757,144.11649,70406200,13.98058,0.09682,151.19443,162.01127,177.14147
2025-04-10,152.49883,157.38852,149.61488,156.21099,48022000,-5.87764,-0.03711,150.58856,161.49615,177.042
2025-04-11,156.80974,157.33862,152.49883,152.57864,33636200,4.31091,0.02827,150.60282,161.06558,176.99696
2025-04-14,158.73569,161.38011,157.22885,159.66373,30333000,1.92595,0.01228,151.79317,160.80786,176.9639
2025-04-15,155.98149,159.31447,154.88381,158.79557,27551500,-2.7542,-0.01735,153.31996,160.32843,176.9025
2025-04-16,153.00777,155.56238,151.19158,152.77825,28187400,-2.97372,-0.01906,154.25798,159.68009,176.80744
2025-04-17,150.84232,154.35491,148.1879,153.96573,33046600,-2.16545,-0.01415,155.1789,158.98184,176.71392
2025-04-21,147.35965,148.63696,145.79296,148.56711,26049100,-3.48267,-0.02309,153.60507,158.11733,176.59187
2025-04-22,151.15167,151.87016,148.22782,148.57709,26971800,3.79202,0.02573,153.41262,157.63834,176.48026
2025-04-23,155.02351,157.19892,153.48674,155.28296,31128800,3.87184,0.02562,153.15744,157.34928,176.38889
2025-04-24,158.94525,159.2546,155.46258,155.82182,45894000,3.92174,0.0253,153.18738,157.08883,176.30564
2025-04-25,161.61961,165.75091,160.70153,164.72308,56034000,2.67436,0.01683,153.99283,157.06222,176.20502
2025-04-28,160.27245,162.8071,158.26668,162.08861,29745800,-1.34717,-0.00834,155.03064,156.89989,176.12097
2025-04-29,159.82341,160.40219,157.18896,159.98308,26809000,-0.44904,-0.0028,156.31365,156.76252,176.03168
2025-04-30,158.46626,158.93528,155.0734,157.64798,34981100,-1.35715,-0.00849,157.90031,156.70031,175.94809
2025-05-01,160.96101,161.60964,158.57604,160.11279,30203200,2.49475,0.01574,159.30164,156.61416,175.88115
2025-05-02,163.68527,164.6233,161.52981,163.06658,25715000,2.72426,0.01692,160.53904,156.65508,175.78073
2025-05-05,163.86488,165.0424,162.37801,162.65742,21341800,0.17961,0.0011,161.24184,156.66239,175.64664
2025-05-06,162.88695,164.45366,160.85124,161.82918,21277200,-0.97794,-0.00597,161.42289,156.51437,175.5243
